https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1741824000000,2025-03-13 00:00:00,BCH/USDT,353.8,355.61,323.89,325.96,5598579.07,16625.512802,2987037.14,8867.919337,163727,336.95
1741737600000,2025-03-12 00:00:00,BCH/USDT,340.15,360,330.23,353.79,7037502.41,20498.189711,3816172.89,11114.892142,206687,343.57
1741651200000,2025-03-11 00:00:00,BCH/USDT,331.73,350.31,316.38,340.18,8772668.95,26046.450401,4825829.8,14328.353538,257941,336.9
1741564800000,2025-03-10 00:00:00,BCH/USDT,357.38,371.81,330.56,331.79,7857321.73,22188.12467,4256609.27,12020.484825,230006,354.4
1741478400000,2025-03-09 00:00:00,BCH/USDT,385.75,386.87,356.15,357.39,5329175.46,14415.691405,2832520.77,7663.522393,155834,369.81
1741392000000,2025-03-08 00:00:00,BCH/USDT,388.86,396.03,377.12,385.76,5532671.35,14384.95352,2982193.53,7753.818268,162998,384.64
1741305600000,2025-03-07 00:00:00,BCH/USDT,394.85,410.11,383.2,388.88,8220797.23,20766.242828,4554231.91,11503.927544,241844,395.94
1741219200000,2025-03-06 00:00:00,BCH/USDT,391.94,419.02,384.17,394.86,6558634.16,16593.46831,3578277.94,9052.8476,191413,395.33
1741132800000,2025-03-05 00:00:00,BCH/USDT,320.71,398.13,319.26,391.89,6844545.1,18705.909432,3798194.73,10383.109441,196234,367.3
1741046400000,2025-03-04 00:00:00,BCH/USDT,321.27,329.94,290.89,320.52,9306612.01,30110.489145,5237050.9,16945.066561,272045,309.22
1740960000000,2025-03-03 00:00:00,BCH/USDT,334.11,356.56,310.86,321.29,9691522.28,29683.763185,5498257,16840.653862,282425,326.73
1740873600000,2025-03-02 00:00:00,BCH/USDT,311.38,341.18,309.48,334.15,7802664.08,23937.144091,4393187.56,13465.028867,229244,326.23
1740787200000,2025-03-01 00:00:00,BCH/USDT,315.62,324.27,307.32,311.36,5708762.35,18180.700345,3136727.07,9987.328634,167125,314.07
1740700800000,2025-02-28 00:00:00,BCH/USDT,296.86,319.86,270.03,315.8,9505876.25,32412.621457,5421667.76,18482.463585,278547,294.16
1740614400000,2025-02-27 00:00:00,BCH/USDT,293.92,303.52,290.04,296.76,8598439.6,28856.648674,4808654.74,16136.367933,251753,298
1740528000000,2025-02-26 00:00:00,BCH/USDT,291.83,301.35,284.38,293.92,7772798.01,26405.1831,4306088.45,14628.431726,228613,294.39
1740441600000,2025-02-25 00:00:00,BCH/USDT,291.68,296.72,276.01,291.94,10846602.67,37723.775935,6148235.2,21383.252486,320867,287.61
1740355200000,2025-02-24 00:00:00,BCH/USDT,327.7,329.37,287.6,291.6,6654151.39,21437.502728,3580202.24,11538.658159,195048,310.6
1740268800000,2025-02-23 00:00:00,BCH/USDT,320.83,332,320.46,327.73,4835044.27,14799.673628,2565430.52,7851.743952,141814,326.71
1740182400000,2025-02-22 00:00:00,BCH/USDT,313.85,322.69,312.62,320.85,6205040.44,19485.181053,3278160.39,10294.995171,181574,318.46
1740096000000,2025-02-21 00:00:00,BCH/USDT,325.87,333.91,309.88,313.85,6948270.77,21493.770064,3732851.22,11550.620956,204664,323.41
1740009600000,2025-02-20 00:00:00,BCH/USDT,322.65,327.21,320.29,325.88,6144209.49,18990.045659,3233727.16,9994.454114,179878,323.55
1739923200000,2025-02-19 00:00:00,BCH/USDT,316.25,324.46,311.81,322.66,6003933.95,18828.121178,3169118.64,9937.870124,175832,318.92
1739836800000,2025-02-18 00:00:00,BCH/USDT,323.92,325.45,307.8,316.27,6634307.31,20923.208928,3464847.68,10927.01842,194676,317.12
1739750400000,2025-02-17 00:00:00,BCH/USDT,326.17,336.98,317.14,323.93,6237971.21,19103.032826,3253856.48,9965.157445,183694,326.59
1739664000000,2025-02-16 00:00:00,BCH/USDT,333,335.04,325.61,326.17,5041355.57,15221.529449,2633299.52,7951.063984,146993,331.21
1739577600000,2025-02-15 00:00:00,BCH/USDT,341.64,345.78,330.99,333.01,5938312.97,17479.169639,3135641.68,9228.244828,174007,339.78
1739491200000,2025-02-14 00:00:00,BCH/USDT,334.99,350.62,334.09,341.54,6455703.64,18912.706942,3368930.44,9869.737317,188743,341.37
1739404800000,2025-02-13 00:00:00,BCH/USDT,343.01,345.6,327.38,334.94,6339820.66,18888.301856,3364851.58,10025.440135,185783,335.7
1739318400000,2025-02-12 00:00:00,BCH/USDT,331.38,346.67,321.32,343.03,6511555.61,19539.783534,3439841.81,10321.901496,190116,333.32
1739232000000,2025-02-11 00:00:00,BCH/USDT,329.36,344.44,325.71,331.38,6137043.83,18292.444031,3213848.89,9580.289116,179997,335.55
1739145600000,2025-02-10 00:00:00,BCH/USDT,324.53,334.62,315.4,329.36,6745173.1,20509.90186,3598160.44,10940.033974,197702,328.91
1739059200000,2025-02-09 00:00:00,BCH/USDT,323.09,329.37,312.79,324.49,5158969.54,15877.500066,2737431.91,8424.76426,151200,324.94
1738972800000,2025-02-08 00:00:00,BCH/USDT,318.55,324.43,314.59,323.09,5922696.67,18584.80821,3157378.69,9907.789653,172989,318.69
1738886400000,2025-02-07 00:00:00,BCH/USDT,316.07,335.13,308.38,318.43,7138339.97,22109.332672,3828724.27,11858.3657,209142,322.94
1738800000000,2025-02-06 00:00:00,BCH/USDT,328.25,335.05,313.63,316.05,7111101.97,21898.639204,3957108.75,12190.639783,207758,324.85
1738713600000,2025-02-05 00:00:00,BCH/USDT,329.78,338.3,323.25,328.12,7571304.39,22838.924964,4103235.26,12378.730783,221860,331.53
1738627200000,2025-02-04 00:00:00,BCH/USDT,353.24,355.79,321.11,329.76,8957104.68,26650.675111,4829646.44,14369.272929,262729,336.31
1738540800000,2025-02-03 00:00:00,BCH/USDT,360.78,363.65,271.77,353.41,14517060.06,44935.432808,7969684.13,24680.866479,372954,324.08
1738454400000,2025-02-02 00:00:00,BCH/USDT,403.93,410.51,360,360.62,12615235.16,32385.90763,6575311.56,16875.741643,177321,390.08
1738368000000,2025-02-01 00:00:00,BCH/USDT,424.29,431.07,400.31,403.84,8479941.62,20143.25123,4341945.43,10313.670519,119896,421.12
1738281600000,2025-01-31 00:00:00,BCH/USDT,434.79,444.94,420.01,424.25,9139657.89,21183.293896,4699823.42,10893.2646,129490,431.52
1738195200000,2025-01-30 00:00:00,BCH/USDT,414.94,438.9,412.68,434.8,10957854.84,25470.37892,5730799.97,13321.082116,155932,430.28
1738108800000,2025-01-29 00:00:00,BCH/USDT,410.56,421.75,404.37,414.99,10866170.55,26227.17794,5630610.28,13590.172701,153837,414.33
1738022400000,2025-01-28 00:00:00,BCH/USDT,427.57,431.07,407.02,410.54,11097211.3,26110.07149,5764775.32,13563.741926,156824,425.09
1737936000000,2025-01-27 00:00:00,BCH/USDT,425.26,429.06,396.86,427.54,16291251.4,39398.182369,8534951.63,20639.263467,231397,413.65
1737849600000,2025-01-26 00:00:00,BCH/USDT,445.47,448.14,425.14,425.25,8652836.01,19738.28864,4433275.44,10113.040567,122209,438.42
1737763200000,2025-01-25 00:00:00,BCH/USDT,432.06,454.77,430.81,445.35,9113925.01,20672.227554,4715699.6,10695.850407,129527,440.95
1737676800000,2025-01-24 00:00:00,BCH/USDT,437.38,442.5,426.88,431.94,12873334.41,29495.865793,6711330.49,15377.367277,182941,436.48
1737590400000,2025-01-23 00:00:00,BCH/USDT,435.35,447.34,425.5,437.24,12505387.1,28860.078409,6543048.73,15099.44531,177458,433.36
1737504000000,2025-01-22 00:00:00,BCH/USDT,446.44,450.82,433.9,434.92,11398488.91,25652.803705,5953484.73,13399.01744,162843,444.37
1737417600000,2025-01-21 00:00:00,BCH/USDT,430.77,454.61,420.06,446.33,15631072.9,35866.665159,8212432.67,18846.938429,222129,436.01
1737331200000,2025-01-20 00:00:00,BCH/USDT,427.61,473.62,415.73,430.76,22596431.82,51189.885067,12195691.91,27627.862444,326844,441.78
1737244800000,2025-01-19 00:00:00,BCH/USDT,466.49,471.15,420,427.73,17831376.6,39252.194267,9669101.65,21288.083032,253216,454.51
1737158400000,2025-01-18 00:00:00,BCH/USDT,489.29,494.87,458.94,466.59,13654937.38,29119.090447,7251906,15464.843003,193398,469.08
1737072000000,2025-01-17 00:00:00,BCH/USDT,461.71,499.97,461.71,489.05,11524327.09,23862.773497,6054450.22,12538.247741,163901,483.06
1736985600000,2025-01-16 00:00:00,BCH/USDT,460.11,471.12,446.62,461.25,12096622.62,26287.399469,6331149.37,13758.173453,172060,460.21
1736899200000,2025-01-15 00:00:00,BCH/USDT,437.93,463.23,430.79,460.32,11152186.66,25179.490213,5820407.63,13141.592502,158136,443
1736812800000,2025-01-14 00:00:00,BCH/USDT,428.05,441.1,426.12,437.5,10220112.47,23562.279264,5339708.1,12311.555374,144911,433.77
1736726400000,2025-01-13 00:00:00,BCH/USDT,448.01,453.92,400.95,428.01,12391853.7,29458.690921,6547709.34,15571.213949,176133,420.91
1736640000000,2025-01-12 00:00:00,BCH/USDT,441.05,463.34,436.62,447.86,6356161.15,14223.414576,3284317.32,7349.943046,90219,447.01
1736553600000,2025-01-11 00:00:00,BCH/USDT,449.96,450.53,436.46,441.03,6666056.93,15127.135203,3444219.23,7815.725416,94226,440.68
1736467200000,2025-01-10 00:00:00,BCH/USDT,421.96,450.49,420.18,449.96,11229171.64,25778.251307,5884239.09,13507.646553,159446,435.78
1736380800000,2025-01-09 00:00:00,BCH/USDT,434.44,436.89,411.35,421.84,11260409.62,26394.437475,5932866.49,13906.50983,159330,426.69
1736294400000,2025-01-08 00:00:00,BCH/USDT,437.07,441.6,418.37,434.44,11923006.13,27408.795451,6249876.46,14367.272791,168930,435.03
1736208000000,2025-01-07 00:00:00,BCH/USDT,481.41,484.97,435.95,436.95,9539699.66,20768.137418,4961440.74,10803.975403,135687,460.01
1736121600000,2025-01-06 00:00:00,BCH/USDT,470.89,485,464.43,481.41,9424128.6,19816.806999,4905040.19,10313.912896,133174,475.6
1736035200000,2025-01-05 00:00:00,BCH/USDT,478.81,479.4,462.83,470.73,6847461.32,14556.644129,3531454.35,7507.111764,96717,470.42
1735948800000,2025-01-04 00:00:00,BCH/USDT,473.77,482.87,469.31,478.75,7133849.32,15011.103023,3699196.32,7783.950214,101494,475.25
1735862400000,2025-01-03 00:00:00,BCH/USDT,461.68,476.1,455.46,473.76,8276324.68,17716.509042,4302076.52,9208.543172,117294,467.23
1735776000000,2025-01-02 00:00:00,BCH/USDT,450.55,465.87,450.39,461.55,9894618.81,21498.293734,5185787.47,11267.494247,139244,460.26
1735689600000,2025-01-01 00:00:00,BCH/USDT,434.46,454.55,430.4,450.42,6722347.68,15280.496104,3519556.59,7999.963867,95066,440
1735603200000,2024-12-31 00:00:00,BCH/USDT,444.1,455.38,433.19,434.55,9006223.86,20359.065074,4726808.05,10684.551273,128933,442.45
1735516800000,2024-12-30 00:00:00,BCH/USDT,438.93,452.65,429.01,443.94,9120553.09,20494.193028,4826090.13,10844.581416,129926,445.09
1735430400000,2024-12-29 00:00:00,BCH/USDT,451.79,453.93,435.24,438.99,6320344.87,14126.933724,3299728.5,7375.108133,89011,447.44
1735344000000,2024-12-28 00:00:00,BCH/USDT,441.2,453.74,438.38,451.67,6942051.75,15635.541056,3632007.26,8181.088045,98153,444.01
1735257600000,2024-12-27 00:00:00,BCH/USDT,437.26,461.55,434.61,441.15,8529667.5,19123.040271,4456441.62,9991.165048,120761,446.12
1735171200000,2024-12-26 00:00:00,BCH/USDT,465.25,468.22,433.07,437.39,8796334.47,19804.038936,4601093.76,10359.468664,124446,444.34
