https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1570147200000,2019-10-04 00:00:00,ZRX/USDT,0.21174631,0.2264154,0.21105416,0.21877497,3325.99276427,15199.51059834,0,0,0,0.21882235
1570060800000,2019-10-03 00:00:00,ZRX/USDT,0.20889797,0.2132187,0.20257887,0.21049963,561.87523181,2685.26654435,0,0,0,0.20924374
1569974400000,2019-10-02 00:00:00,ZRX/USDT,0.213,0.219,0.20220581,0.20220581,3270.92532271,15766.27737865,0,0,0,0.20746338
1569888000000,2019-10-01 00:00:00,ZRX/USDT,0.20443841,0.22,0.20382629,0.21559929,1942.19063446,9247.74886569,0,0,0,0.21001766
1569801600000,2019-09-30 00:00:00,ZRX/USDT,0.20053254,0.20812615,0.19104873,0.20095267,6658.31027879,33225.00869275,0,0,0,0.20040055
1569715200000,2019-09-29 00:00:00,ZRX/USDT,0.21143616,0.21143616,0.19806075,0.20208055,2625.90486346,13081.89081482,0,0,0,0.20072823
1569628800000,2019-09-28 00:00:00,ZRX/USDT,0.21293982,0.22086657,0.20734511,0.21195725,8549.75974752,40626.87578156,0,0,0,0.2104459
1569542400000,2019-09-27 00:00:00,ZRX/USDT,0.21500069,0.22321955,0.21,0.2136607,10935.54383389,51562.51300183,0,0,0,0.21208322
1569456000000,2019-09-26 00:00:00,ZRX/USDT,0.2113,0.23619999,0.20992182,0.22,29383.8416532,130575.70434361,0,0,0,0.22503299
1569369600000,2019-09-25 00:00:00,ZRX/USDT,0.19400044,0.21041015,0.19002694,0.21041015,11994.6871691,62439.41515718,0,0,0,0.1921012
1569283200000,2019-09-24 00:00:00,ZRX/USDT,0.2066,0.231,0.17597338,0.19087339,10811.93364112,54925.56654536,0,0,0,0.19684701
1569196800000,2019-09-23 00:00:00,ZRX/USDT,0.23686826,0.23686826,0.208,0.208,8155.33192704,36918.95967725,0,0,0,0.2208982
1569110400000,2019-09-22 00:00:00,ZRX/USDT,0.24283539,0.25804768,0.23232407,0.23721591,9893.93691924,41422.33600083,0,0,0,0.23885511
1569024000000,2019-09-21 00:00:00,ZRX/USDT,0.231,0.255,0.2259,0.24663251,18462.01142838,76347.65279329,0,0,0,0.24181504
1568937600000,2019-09-20 00:00:00,ZRX/USDT,0.21005443,0.26133761,0.21005443,0.23109878,17971.53417664,75980.22324425,0,0,0,0.2365291
1568851200000,2019-09-19 00:00:00,ZRX/USDT,0.19017126,0.24046845,0.1891,0.2283,29806.49240249,139180.23223808,0,0,0,0.21415751
1568764800000,2019-09-18 00:00:00,ZRX/USDT,0.17738005,0.20185706,0.17738005,0.19184166,14492.3893789,74711.82504933,0,0,0,0.19397718
1568678400000,2019-09-17 00:00:00,ZRX/USDT,0.16368427,0.17909501,0.16368427,0.1749589,1661.8686819,9644.72176271,0,0,0,0.17230861
1568592000000,2019-09-16 00:00:00,ZRX/USDT,0.16490644,0.16701539,0.16038671,0.16293123,2720.19469239,16628.99683451,0,0,0,0.1635814
1568505600000,2019-09-15 00:00:00,ZRX/USDT,0.1645573,0.16490642,0.16347389,0.16490251,210.01575019,1274.27758889,0,0,0,0.16481161
1568419200000,2019-09-14 00:00:00,ZRX/USDT,0.1614716,0.16888783,0.1614716,0.16617853,1768.33487521,10698.64768732,0,0,0,0.16528583
1568332800000,2019-09-13 00:00:00,ZRX/USDT,0.15969952,0.16271594,0.15827825,0.16076031,151.4052513,947.21322123,0,0,0,0.15984283
1568246400000,2019-09-12 00:00:00,ZRX/USDT,0.15709268,0.16443392,0.15610375,0.16114176,929.49145861,5800.23469624,0,0,0,0.16025066
1568160000000,2019-09-11 00:00:00,ZRX/USDT,0.1611,0.1611,0.15780626,0.16073368,569.51380541,3542.27340939,0,0,0,0.16077635
1568073600000,2019-09-10 00:00:00,ZRX/USDT,0.16526675,0.16593689,0.16108621,0.16108621,1464.31208797,8947.34550746,0,0,0,0.16365882
1567987200000,2019-09-09 00:00:00,ZRX/USDT,0.16,0.16302641,0.16,0.16302641,13471.45878654,84173.09484562,0,0,0,0.16004471
1567900800000,2019-09-08 00:00:00,ZRX/USDT,0.16199262,0.16449378,0.15826373,0.162,4302.50514145,26431.77288159,0,0,0,0.16277777
1567814400000,2019-09-07 00:00:00,ZRX/USDT,0.15506405,0.16312849,0.15506405,0.16312849,1133.0600593,7092.04415112,0,0,0,0.15976494
1567728000000,2019-09-06 00:00:00,ZRX/USDT,0.1599592,0.1609036,0.15169612,0.15503527,34921.45869717,221132.53646185,0,0,0,0.15792094
1567641600000,2019-09-05 00:00:00,ZRX/USDT,0.16496602,0.16496602,0.1595,0.1595159,2026.70690093,12555.80606015,0,0,0,0.16141591
1567555200000,2019-09-04 00:00:00,ZRX/USDT,0.17199589,0.17406983,0.16295394,0.16295394,10915.18969401,63823.22160102,0,0,0,0.17102223
1567468800000,2019-09-03 00:00:00,ZRX/USDT,0.17437029,0.1768,0.1443,0.17199589,86785.33390593,513709.2933735,0,0,0,0.1689386
1567382400000,2019-09-02 00:00:00,ZRX/USDT,0.16069323,0.173,0.16069323,0.173,2745.20128398,16736.73615708,0,0,0,0.16402249
1567296000000,2019-09-01 00:00:00,ZRX/USDT,0.1607021,0.16179638,0.15615083,0.16179638,1762.36384006,11001.92739802,0,0,0,0.16018682
1567209600000,2019-08-31 00:00:00,ZRX/USDT,0.16195757,0.16539939,0.1591759,0.16392286,2354.84289403,14540.62747429,0,0,0,0.16194919
1567123200000,2019-08-30 00:00:00,ZRX/USDT,0.15531213,0.16405574,0.15367008,0.1637131,4542.65912985,28811.66876687,0,0,0,0.15766733
1567036800000,2019-08-29 00:00:00,ZRX/USDT,0.15845265,0.15845265,0.15106542,0.15336275,879.98821407,5698.72682371,0,0,0,0.15441838
1566950400000,2019-08-28 00:00:00,ZRX/USDT,0.17097561,0.17376801,0.15551052,0.1585,17108.30401044,105209.97101697,0,0,0,0.16261105
1566864000000,2019-08-27 00:00:00,ZRX/USDT,0.17753536,0.17756996,0.16790755,0.172,4112.91985543,24026.27115521,0,0,0,0.17118427
1566777600000,2019-08-26 00:00:00,ZRX/USDT,0.1793693,0.1828099,0.17628251,0.17659471,5053.66169676,28313.73285574,0,0,0,0.178488
1566691200000,2019-08-25 00:00:00,ZRX/USDT,0.18571479,0.18793455,0.17547137,0.17873232,14981.69483181,82275.66868817,0,0,0,0.18209143
1566604800000,2019-08-24 00:00:00,ZRX/USDT,0.1922828,0.20301982,0.18359088,0.18450914,11262.43639937,59024.64749212,0,0,0,0.19080904
1566518400000,2019-08-23 00:00:00,ZRX/USDT,0.17527394,0.19572621,0.17164663,0.1891474,23761.51298439,127170.72940775,0,0,0,0.18684734
1566432000000,2019-08-22 00:00:00,ZRX/USDT,0.1719875,0.1789212,0.16823441,0.17798384,5479.67785882,31182.68268309,0,0,0,0.17572823
1566345600000,2019-08-21 00:00:00,ZRX/USDT,0.16933527,0.1730658,0.16097127,0.17107057,6432.43957464,38307.40415675,0,0,0,0.16791635
1566259200000,2019-08-20 00:00:00,ZRX/USDT,0.17437452,0.17462379,0.16805144,0.16846977,745.71342651,4374.74700581,0,0,0,0.17045864
1566172800000,2019-08-19 00:00:00,ZRX/USDT,0.17448511,0.17742188,0.17204628,0.1743735,10656.13806645,60754.68476783,0,0,0,0.17539615
1566086400000,2019-08-18 00:00:00,ZRX/USDT,0.16865732,0.17618238,0.16865732,0.17544143,74.13809174,426.73292245,0,0,0,0.17373417
1566000000000,2019-08-17 00:00:00,ZRX/USDT,0.17361327,0.17398334,0.16904124,0.17123016,53.81014246,311.53606359,0,0,0,0.17272524
1565913600000,2019-08-16 00:00:00,ZRX/USDT,0.17536179,0.18655647,0.17101759,0.17516343,2171.96369759,12265.00637207,0,0,0,0.17708622
1565827200000,2019-08-15 00:00:00,ZRX/USDT,0.16354602,0.17933493,0.15417337,0.17378678,4194.62718027,25791.5732521,0,0,0,0.16263556
1565740800000,2019-08-14 00:00:00,ZRX/USDT,0.17922588,0.17922588,0.16192381,0.16192381,9428.03520865,56636.63002799,0,0,0,0.16646532
1565654400000,2019-08-13 00:00:00,ZRX/USDT,0.18902871,0.19145116,0.17704391,0.182,880.7209541,4743.16056295,0,0,0,0.18568229
1565568000000,2019-08-12 00:00:00,ZRX/USDT,0.1945,0.19494217,0.1883026,0.1883026,1110.56839661,5769.43923674,0,0,0,0.19249156
1565481600000,2019-08-11 00:00:00,ZRX/USDT,0.19355822,0.19514006,0.19268101,0.19493902,538.70691023,2768.09736671,0,0,0,0.1946127
1565395200000,2019-08-10 00:00:00,ZRX/USDT,0.19179999,0.20199694,0.18830678,0.18998936,17048.80560444,88687.15295216,0,0,0,0.19223534
1565308800000,2019-08-09 00:00:00,ZRX/USDT,0.18839769,0.1995841,0.18144009,0.1883026,91170.16793295,472125.71973939,0,0,0,0.1931057
1565222400000,2019-08-08 00:00:00,ZRX/USDT,0.19683479,0.19683479,0.18568587,0.18839769,25559.36613695,132738.70473709,0,0,0,0.19255398
1565136000000,2019-08-07 00:00:00,ZRX/USDT,0.20025874,0.202,0.19534983,0.1982,22937.62993037,114016.32855771,0,0,0,0.20117846
1565049600000,2019-08-06 00:00:00,ZRX/USDT,0.21288533,0.21288533,0.19870415,0.20008529,12550.63311052,61662.07807619,0,0,0,0.20353892
1564963200000,2019-08-05 00:00:00,ZRX/USDT,0.21320873,0.21704399,0.2117237,0.2117237,2764.43038844,12865.87456916,0,0,0,0.21486533
1564876800000,2019-08-04 00:00:00,ZRX/USDT,0.21594187,0.21594187,0.21,0.211,8757.78367894,41527.17324695,0,0,0,0.21089284
