https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1683676800000,2023-05-10 00:00:00,ETC/USDT,18.729,19.346,17.955,18.852,810502.7,43530.551757,412741.14,22175.302155,5678,18.621
1683590400000,2023-05-09 00:00:00,ETC/USDT,18.305,19.227,18.122,18.75,704174.33,37661.278537,345580.85,18482.769239,6187,18.701
1683504000000,2023-05-08 00:00:00,ETC/USDT,18.731,18.833,17.723,18.301,559095.39,30477.060558,273164.86,14892.437904,5419,18.346
1683417600000,2023-05-07 00:00:00,ETC/USDT,18.983,19.12,18.726,18.763,546877.6,28854.600454,269243.3,14206.218168,5270,18.953
1683331200000,2023-05-06 00:00:00,ETC/USDT,19.614,19.74,18.769,18.981,533086.08,27740.250013,265158.79,13795.791435,5814,19.219
1683244800000,2023-05-05 00:00:00,ETC/USDT,19.293,19.725,19.166,19.612,541313.1,27843.530576,278177.85,14309.21313,5606,19.441
1683158400000,2023-05-04 00:00:00,ETC/USDT,19.572,19.585,19.164,19.294,456128.04,23564.587098,228736.87,11817.658948,4779,19.357
1683072000000,2023-05-03 00:00:00,ETC/USDT,19.267,19.779,18.869,19.573,511458.65,26706.130078,260651.22,13613.513911,4912,19.153
1682985600000,2023-05-02 00:00:00,ETC/USDT,19.235,19.388,18.953,19.269,430463.19,22441.25338,211576.53,11028.504871,4571,19.182
1682899200000,2023-05-01 00:00:00,ETC/USDT,19.396,19.561,18.98,19.262,489112.32,25333.001767,241259.52,12494.839854,4696,19.308
1682812800000,2023-04-30 00:00:00,ETC/USDT,19.817,19.979,19.318,19.416,481025.3,24400.095803,247390.09,12549.084082,5127,19.714
1682726400000,2023-04-29 00:00:00,ETC/USDT,19.795,19.992,19.679,19.816,472460.6,23770.330619,239929.34,12070.455721,5088,19.876
1682640000000,2023-04-28 00:00:00,ETC/USDT,19.839,19.884,19.445,19.773,456148.64,23138.481698,229189.39,11624.849789,4720,19.714
1682553600000,2023-04-27 00:00:00,ETC/USDT,19.379,20.047,19.335,19.83,477069.38,24181.954777,237011.25,12015.640993,4977,19.729
1682467200000,2023-04-26 00:00:00,ETC/USDT,19.857,20.346,18.659,19.396,447038.16,22617.114821,231993.53,11735.140555,4974,19.772
1682380800000,2023-04-25 00:00:00,ETC/USDT,19.476,20.088,19.156,19.857,488111.11,25147.485998,242615.79,12497.445805,4923,19.412
1682294400000,2023-04-24 00:00:00,ETC/USDT,19.69,20,19.133,19.482,473917.08,24278.881925,241749.04,12386.129917,5405,19.521
1682208000000,2023-04-23 00:00:00,ETC/USDT,20.19,20.238,19.387,19.69,405333.35,20379.553824,199006.48,10007.296946,4569,19.891
1682121600000,2023-04-22 00:00:00,ETC/USDT,19.369,20.444,19.369,20.195,456593.66,22898.265059,232585.22,11669.633472,4949,19.943
1682035200000,2023-04-21 00:00:00,ETC/USDT,20.102,20.221,19.162,19.384,401390.3,20221.530238,198525.32,9999.112192,4563,19.854
1681948800000,2023-04-20 00:00:00,ETC/USDT,20.35,20.7,19.843,20.102,476767.39,23414.825773,236380.45,11604.041906,4963,20.365
1681862400000,2023-04-19 00:00:00,ETC/USDT,21.866,21.874,20.025,20.349,467586.44,22401.70861,221411.98,10600.041087,5343,20.888
1681776000000,2023-04-18 00:00:00,ETC/USDT,21.739,22.212,21.377,21.866,405996.63,18590.171265,205903.31,9425.305812,4221,21.84
1681689600000,2023-04-17 00:00:00,ETC/USDT,22.274,22.274,21.482,21.738,456605.17,20941.552014,226872.99,10404.726816,5024,21.804
1681603200000,2023-04-16 00:00:00,ETC/USDT,22.1,22.459,21.886,22.266,379857.53,17148.188459,192647.05,8695.139201,4160,22.152
1681516800000,2023-04-15 00:00:00,ETC/USDT,22.41,22.467,21.948,22.093,365186.55,16444.561846,186963.39,8418.40587,3697,22.207
1681430400000,2023-04-14 00:00:00,ETC/USDT,22.395,23.1,21.835,22.41,449019.34,19869.764773,225430.19,9972.35837,4775,22.602
1681344000000,2023-04-13 00:00:00,ETC/USDT,22.031,22.703,21.574,22.402,503442.84,22677.870999,251559.62,11323.757714,4805,22.203
1681257600000,2023-04-12 00:00:00,ETC/USDT,21.485,22.54,20.666,22.028,458231.32,21203.581201,237924.63,11006.199418,5097,21.624
1681171200000,2023-04-11 00:00:00,ETC/USDT,20.998,22.184,20.847,21.473,416446.72,19572.740899,199059.42,9347.157638,4880,21.281
1681084800000,2023-04-10 00:00:00,ETC/USDT,20.565,21.063,20.267,20.995,330520.96,16075.105878,170242.33,8279.241753,3360,20.562
1680998400000,2023-04-09 00:00:00,ETC/USDT,20.36,20.708,20.176,20.561,420158.61,20632.493223,203076.58,9970.885883,4201,20.364
1680912000000,2023-04-08 00:00:00,ETC/USDT,20.481,20.595,20.243,20.371,372061.03,18188.579248,190147.04,9294.201695,3735,20.456
1680825600000,2023-04-07 00:00:00,ETC/USDT,20.672,20.783,20.179,20.475,404626.98,19808.067329,204372.21,10006.3449,4547,20.428
1680739200000,2023-04-06 00:00:00,ETC/USDT,21.137,21.15,20.456,20.671,422073.7,20357.326092,213017.17,10274.761391,4568,20.733
1680652800000,2023-04-05 00:00:00,ETC/USDT,21.134,21.564,20.621,21.127,415400.69,19686.362656,202157.95,9582.750366,3988,21.102
1680566400000,2023-04-04 00:00:00,ETC/USDT,20.729,21.484,20.383,21.125,374348.76,17877.091761,194490.66,9284.308456,4157,20.944
1680480000000,2023-04-03 00:00:00,ETC/USDT,20.425,20.891,19.914,20.693,398726.07,19594.5311,203020.12,9974.5137,4201,20.351
1680393600000,2023-04-02 00:00:00,ETC/USDT,21.233,21.259,20.159,20.42,470637.18,22668.521836,235187.87,11324.645211,5255,20.766
