date,symbol,strategy,current_price,predicted_price,next_price,investment_made,capital_before,capital_invested,capital_after,capital_gained,return_pct
2025-05-16,EOS/USDT,PolynomialRegression_degree_4,0.84,0.86,0.81,Yes,1057.69,1057.69,1016.84,-40.84,-0.0386
2025-05-17,EOS/USDT,PolynomialRegression_degree_4,0.81,0.79,0.82,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-18,EOS/USDT,PolynomialRegression_degree_4,0.82,0.79,0.78,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-19,EOS/USDT,PolynomialRegression_degree_4,0.78,0.77,0.79,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-20,EOS/USDT,PolynomialRegression_degree_4,0.79,0.77,0.76,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-21,EOS/USDT,PolynomialRegression_degree_4,0.76,0.78,0.76,Yes,1016.84,1016.84,1024.62,7.78,0.0077
2025-05-13,EOS/USDT,PolynomialRegression_degree_5,0.89,0.81,0.8,No,1000.0,0.0,1000.0,0.0,0.0
2025-05-14,EOS/USDT,PolynomialRegression_degree_5,0.8,0.86,0.78,Yes,1000.0,1000.0,985.17,-14.83,-0.0148
2025-05-15,EOS/USDT,PolynomialRegression_degree_5,0.78,0.81,0.84,Yes,985.17,985.17,1057.69,72.51,0.0736
2025-05-16,EOS/USDT,PolynomialRegression_degree_5,0.84,0.85,0.81,Yes,1057.69,1057.69,1016.84,-40.84,-0.0386
2025-05-17,EOS/USDT,PolynomialRegression_degree_5,0.81,0.79,0.82,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-18,EOS/USDT,PolynomialRegression_degree_5,0.82,0.79,0.78,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-19,EOS/USDT,PolynomialRegression_degree_5,0.78,0.77,0.79,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-20,EOS/USDT,PolynomialRegression_degree_5,0.79,0.78,0.76,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-21,EOS/USDT,PolynomialRegression_degree_5,0.76,0.78,0.76,Yes,1016.84,1016.84,1024.62,7.78,0.0077
2025-05-13,EOS/USDT,PolynomialRegression_degree_6,0.89,0.83,0.8,No,1000.0,0.0,1000.0,0.0,0.0
2025-05-14,EOS/USDT,PolynomialRegression_degree_6,0.8,0.86,0.78,Yes,1000.0,1000.0,985.17,-14.83,-0.0148
2025-05-15,EOS/USDT,PolynomialRegression_degree_6,0.78,0.81,0.84,Yes,985.17,985.17,1057.69,72.51,0.0736
2025-05-16,EOS/USDT,PolynomialRegression_degree_6,0.84,0.85,0.81,Yes,1057.69,1057.69,1016.84,-40.84,-0.0386
2025-05-17,EOS/USDT,PolynomialRegression_degree_6,0.81,0.81,0.82,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-18,EOS/USDT,PolynomialRegression_degree_6,0.82,0.81,0.78,No,1016.84,0.0,1016.84,0.0,0.0
2025-05-19,EOS/USDT,PolynomialRegression_degree_6,0.78,0.78,0.79,Yes,1016.84,1016.84,1029.28,12.44,0.0122
2025-05-20,EOS/USDT,PolynomialRegression_degree_6,0.79,0.79,0.76,Yes,1029.28,1029.28,992.61,-36.67,-0.0356
2025-05-21,EOS/USDT,PolynomialRegression_degree_6,0.76,0.78,0.76,Yes,992.61,992.61,1000.21,7.6,0.0077
2025-05-13,EOS/USDT,PolynomialRegression_degree_7,0.89,0.85,0.8,No,1000.0,0.0,1000.0,0.0,0.0
2025-05-14,EOS/USDT,PolynomialRegression_degree_7,0.8,0.85,0.78,Yes,1000.0,1000.0,985.17,-14.83,-0.0148
2025-05-15,EOS/USDT,PolynomialRegression_degree_7,0.78,0.81,0.84,Yes,985.17,985.17,1057.69,72.51,0.0736
2025-05-16,EOS/USDT,PolynomialRegression_degree_7,0.84,0.83,0.81,No,1057.69,0.0,1057.69,0.0,0.0
2025-05-17,EOS/USDT,PolynomialRegression_degree_7,0.81,0.8,0.82,No,1057.69,0.0,1057.69,0.0,0.0
2025-05-18,EOS/USDT,PolynomialRegression_degree_7,0.82,0.81,0.78,No,1057.69,0.0,1057.69,0.0,0.0
2025-05-19,EOS/USDT,PolynomialRegression_degree_7,0.78,0.78,0.79,Yes,1057.69,1057.69,1070.63,12.94,0.0122
2025-05-20,EOS/USDT,PolynomialRegression_degree_7,0.79,0.78,0.76,No,1070.63,0.0,1070.63,0.0,0.0
